Outdoor Drybulb Temperature [C],Outdoor Relative Humidity [%],Diffuse Solar Radiation [W/m2],Direct Solar Radiation [W/m2],6h Prediction Outdoor Drybulb Temperature [C],12h Prediction Outdoor Drybulb Temperature [C],24h Prediction Outdoor Drybulb Temperature [C],6h Prediction Outdoor Relative Humidity [%],12h Prediction Outdoor Relative Humidity [%],24h Prediction Outdoor Relative Humidity [%],6h Prediction Diffuse Solar Radiation [W/m2],12h Prediction Diffuse Solar Radiation [W/m2],24h Prediction Diffuse Solar Radiation [W/m2],6h Prediction Direct Solar Radiation [W/m2],12h Prediction Direct Solar Radiation [W/m2],24h Prediction Direct Solar Radiation [W/m2]
21.16,91.12,0.00,0.00,28.21,27.19,21.88,62.39,61.10,95.30,385.78,130.14,-0.00,186.86,348.35,0.00
21.14,91.88,8.88,37.12,29.01,25.97,22.17,57.69,68.06,94.17,295.32,61.98,8.58,352.06,185.02,22.77
22.16,91.12,69.56,313.56,28.94,25.68,22.54,55.06,69.34,94.47,173.29,6.26,65.00,784.81,19.40,227.62
24.18,85.00,116.00,532.81,29.10,25.07,24.28,51.88,72.63,86.28,169.77,0.00,117.67,808.61,0.00,463.19
25.75,77.62,174.62,524.19,29.12,23.52,27.56,49.55,81.80,67.88,197.49,-0.00,254.76,670.19,-0.00,372.41
27.26,67.50,275.94,420.12,28.41,23.58,26.25,52.59,82.68,74.39,208.02,0.00,329.58,430.56,0.00,208.85
28.21,62.38,385.81,186.88,27.36,23.93,28.12,60.36,79.75,64.00,131.79,-0.00,439.26,352.77,-0.00,150.66
29.02,57.62,295.69,352.50,26.25,23.31,26.77,66.78,84.54,69.98,63.24,0.00,420.12,188.79,0.00,122.07
29.09,54.38,175.50,794.81,25.61,23.69,28.63,69.73,84.21,61.78,6.22,-0.00,488.80,19.30,-0.00,137.28
28.90,52.75,167.00,795.44,24.84,23.22,27.04,73.87,86.00,70.32,0.00,0.00,389.37,0.00,-0.00,98.01
28.84,50.75,192.94,654.75,23.84,23.57,27.67,80.03,82.12,67.45,-0.00,-0.00,326.82,-0.00,-0.00,82.48
28.43,52.50,208.38,431.31,23.91,22.27,25.89,80.84,91.19,78.54,0.00,-0.00,201.95,0.00,0.00,130.77
27.51,59.62,133.44,357.19,23.99,22.36,27.22,79.38,92.28,72.16,-0.00,0.00,86.78,-0.00,0.00,66.90
26.48,65.50,64.50,192.56,23.63,22.50,25.94,82.71,92.09,77.89,0.00,8.79,16.23,0.00,23.33,4.44
25.54,70.12,6.19,19.19,23.77,23.09,24.80,83.73,90.98,83.46,-0.00,67.81,1.03,-0.00,237.47,0.00
24.64,75.12,0.00,0.00,23.33,24.74,23.52,85.31,83.64,90.73,0.00,121.78,0.00,0.00,479.34,-0.00
24.11,78.25,0.00,0.00,23.24,27.07,22.99,84.19,70.44,93.48,0.00,246.41,0.00,-0.00,360.21,0.00
24.19,79.00,0.00,0.00,22.56,26.76,24.92,89.41,71.89,81.29,0.00,342.42,-0.00,0.00,216.99,-0.00
24.05,79.00,0.00,0.00,22.60,27.85,22.65,90.76,65.25,96.82,0.00,431.28,0.00,-0.00,147.92,0.00
23.90,80.88,0.00,0.00,22.66,27.30,23.90,91.04,67.49,88.36,8.90,437.53,-0.00,23.60,127.13,-0.00
23.84,83.25,0.00,0.00,23.37,28.04,22.37,89.24,64.64,97.52,69.21,469.71,0.00,242.39,131.92,0.00
23.43,84.62,0.00,0.00,24.96,27.30,24.33,82.32,69.04,84.09,123.83,397.06,-0.00,487.42,99.94,-0.00
22.95,86.25,0.00,0.00,26.82,27.52,23.70,71.72,68.17,85.64,242.24,323.50,-0.00,354.10,81.65,0.00
22.80,87.62,0.00,0.00,27.01,26.54,21.65,70.63,75.21,96.51,348.83,212.26,-0.00,221.05,137.45,0.00
22.80,89.25,0.00,0.00,27.72,26.80,22.40,65.87,74.45,91.27,427.30,84.33,-0.00,146.56,65.01,0.00
22.80,90.00,9.00,23.88,27.57,25.84,21.02,66.24,78.44,99.01,446.23,16.11,13.56,129.66,4.41,28.06
23.61,87.50,70.62,247.31,27.74,25.02,20.83,66.07,82.17,102.04,460.16,1.04,71.04,129.24,0.00,157.43
25.16,81.00,125.88,495.50,27.44,24.09,23.18,68.39,87.31,92.80,400.91,0.00,153.32,100.91,-0.00,275.82
26.61,73.00,238.06,348.00,27.45,23.69,25.49,68.52,89.24,79.67,321.85,-0.00,274.74,81.23,0.00,307.56
27.23,69.38,355.25,225.12,26.86,24.47,26.21,73.54,84.09,73.77,217.41,0.00,351.47,140.78,-0.00,316.95
27.61,66.50,423.31,145.19,26.59,23.30,25.61,75.60,92.72,73.84,83.11,-0.00,300.58,64.06,0.00,461.64
27.80,65.00,454.94,132.19,25.79,23.90,27.89,78.72,88.37,62.34,16.06,0.00,259.03,4.40,-0.00,670.30
27.49,67.50,450.62,126.56,25.13,22.97,28.38,81.53,93.70,60.68,1.05,0.00,360.07,0.00,0.00,410.40
27.55,67.75,404.75,101.88,24.37,23.79,29.53,85.59,87.54,54.63,0.00,0.00,390.29,-0.00,-0.00,196.95
27.39,68.88,320.19,80.81,24.04,23.33,24.85,87.12,88.01,73.79,-0.00,0.00,240.92,0.00,0.00,80.27
27.14,71.88,222.56,144.12,24.24,22.06,22.79,85.48,93.88,79.39,0.00,0.00,229.90,-0.00,0.00,126.13
26.41,76.75,81.88,63.12,23.62,22.29,23.75,90.67,91.94,73.36,-0.00,-0.00,134.19,0.00,0.00,65.30
25.75,79.00,16.00,4.38,23.90,21.47,22.49,88.37,96.01,80.92,0.00,14.03,21.43,-0.00,29.03,4.35
25.23,80.88,1.06,0.00,23.26,21.51,23.12,91.79,97.52,77.82,-0.00,74.87,1.30,0.00,165.91,0.00
24.62,83.88,0.00,0.00,23.53,23.36,21.77,89.27,91.65,87.04,-0.00,155.31,-0.00,0.00,279.41,-0.00
24.34,85.00,0.00,0.00,23.15,25.08,22.64,89.19,82.15,81.97,-0.00,267.15,0.00,-0.00,299.06,0.00
24.05,86.88,0.00,0.00,22.26,25.97,22.94,92.57,75.08,80.19,-0.00,345.68,-0.00,-0.00,311.73,-0.00
23.90,88.62,0.00,0.00,22.24,26.15,23.39,92.28,71.23,76.26,0.00,312.94,0.00,-0.00,480.63,0.00
23.90,88.38,0.00,0.00,21.70,27.83,22.02,94.50,62.61,83.22,14.27,257.92,-0.00,29.52,667.43,-0.00
23.52,89.88,0.00,0.00,21.85,28.57,22.57,95.26,59.90,79.82,76.78,364.94,0.00,170.14,415.95,0.00
23.30,91.00,0.00,0.00,23.44,29.19,21.31,91.07,56.00,87.71,156.31,381.37,-0.00,281.21,192.44,-0.00
22.99,90.38,0.00,0.00,24.88,25.15,20.82,83.38,72.27,89.38,263.36,246.34,0.00,294.81,82.08,-0.00
22.43,91.25,0.00,0.00,25.85,23.23,21.91,75.73,77.01,81.54,342.78,237.76,-0.00,309.11,130.44,-0.00
22.20,92.62,0.00,0.00,26.41,23.58,22.44,69.92,74.24,77.49,319.13,132.65,-0.00,490.12,64.56,-0.00
21.89,93.00,14.50,30.00,27.80,22.73,20.21,62.74,79.59,91.92,257.36,21.81,5.52,665.99,4.42,-0.00
22.14,93.00,78.69,174.38,28.66,22.86,21.18,59.51,79.35,86.98,367.38,1.27,44.20,418.73,0.00,9.35
23.52,90.50,157.31,283.00,29.02,22.08,20.68,56.69,85.14,90.72,376.90,-0.00,133.00,190.19,-0.00,41.75
24.70,84.62,259.56,290.56,25.30,22.62,21.57,71.51,82.04,86.01,249.04,0.00,227.94,82.98,0.00,42.50
25.75,76.38,339.88,306.50,23.46,22.87,21.95,75.81,80.59,83.65,241.69,-0.00,309.05,132.59,-0.00,99.11
26.64,68.62,325.31,499.62,23.50,23.08,23.81,74.68,78.01,73.44,131.89,0.00,432.64,64.18,0.00,258.21
27.77,62.88,256.81,664.56,22.85,22.39,24.50,78.92,81.11,72.18,22.00,-0.00,466.80,4.46,-0.00,248.13
28.74,59.12,369.81,421.50,22.72,22.48,23.25,80.12,80.35,80.63,1.26,0.00,412.34,0.00,0.00,164.55
28.88,57.38,372.44,187.94,22.24,21.74,24.92,84.20,85.16,73.17,0.00,0.00,383.75,-0.00,-0.00,173.55
25.43,70.75,251.75,83.88,22.62,21.03,24.18,82.08,88.06,76.30,0.00,0.00,190.81,0.00,0.00,32.77
23.65,74.62,245.62,134.75,22.83,21.41,24.83,80.80,84.64,70.14,-0.00,-0.00,86.19,-0.00,-0.00,1.85
23.43,75.12,131.12,63.81,22.93,21.91,22.74,78.88,80.68,80.96,0.00,-0.00,48.07,0.00,-0.00,-0.00
22.95,78.25,22.19,4.50,22.58,20.77,21.53,80.05,88.52,89.98,-0.00,5.76,7.84,-0.00,-0.00,0.00
22.61,80.88,1.25,0.00,22.43,21.34,22.33,80.62,86.05,84.02,0.00,44.70,0.40,0.00,9.46,-0.00
22.38,83.25,0.00,0.00,21.96,21.24,20.37,83.89,87.36,94.19,-0.00,138.78,-0.00,-0.00,43.57,0.00
22.61,82.12,0.00,0.00,21.14,22.02,21.16,87.41,83.44,92.03,0.00,235.66,0.00,0.00,43.94,-0.00
22.80,81.00,0.00,0.00,21.16,22.42,23.35,86.20,81.01,80.20,0.00,320.18,-0.00,-0.00,102.68,0.00
22.80,79.75,0.00,0.00,21.64,23.57,22.45,82.28,74.78,88.23,0.00,425.29,0.00,-0.00,253.83,-0.00
22.74,79.00,0.00,0.00,21.05,24.29,22.64,86.82,73.28,88.02,5.88,460.09,-0.00,0.00,244.57,0.00
22.39,80.88,0.00,0.00,21.41,23.88,22.94,85.59,77.32,85.61,44.94,432.64,0.00,9.51,172.65,-0.00
22.14,82.62,0.00,0.00,21.52,25.03,20.68,85.68,72.65,96.18,141.67,386.60,-0.00,44.47,174.83,0.00
21.23,86.75,0.00,0.00,22.24,24.51,21.98,82.16,74.59,87.04,239.52,195.50,0.00,44.66,33.57,-0.00
20.95,87.75,0.00,0.00,22.66,24.41,22.64,79.70,72.38,83.76,325.75,83.75,-0.00,104.47,1.80,0.00
21.41,83.88,0.00,0.00,23.45,22.61,21.03,75.45,81.73,92.08,421.61,47.63,0.00,251.63,-0.00,-0.00
21.29,85.12,6.00,0.00,24.19,21.62,20.62,73.83,89.43,91.30,456.73,7.89,2.79,242.78,0.00,-0.00
21.48,85.12,45.19,9.56,24.19,22.00,20.13,75.66,86.07,95.27,442.79,0.39,16.76,176.70,-0.00,-0.00
21.76,84.00,144.56,45.38,25.08,21.06,21.23,72.38,89.97,90.40,388.02,-0.00,40.63,175.48,0.00,0.00
22.43,80.88,243.38,45.38,24.67,21.47,20.79,73.73,90.08,95.32,197.84,0.00,61.10,33.98,-0.00,0.18
22.86,78.38,331.31,106.25,24.20,22.68,21.55,73.50,84.48,88.72,82.53,-0.00,130.86,1.78,0.00,1.87
23.34,76.12,417.94,249.44,22.55,22.32,21.90,82.11,89.06,83.69,47.41,0.00,202.44,-0.00,-0.00,6.53
24.10,74.38,453.38,241.00,21.66,22.41,22.07,89.16,89.51,83.55,7.92,-0.00,231.94,0.00,0.00,13.11
24.46,74.00,452.94,180.75,21.84,22.52,21.59,87.10,88.31,90.13,0.38,0.00,308.97,-0.00,-0.00,22.77
25.12,72.12,389.44,176.12,21.40,21.29,21.47,87.86,92.34,92.97,-0.00,0.00,219.29,0.00,0.00,9.91
24.81,72.88,200.19,34.38,21.63,21.83,22.18,89.10,87.96,92.22,0.00,0.00,194.42,-0.00,-0.00,8.27
24.02,74.62,81.31,1.75,22.34,22.15,23.26,86.61,86.88,87.24,-0.00,-0.00,166.65,0.00,0.00,12.90
22.49,82.50,47.19,0.00,22.25,21.35,23.30,89.47,90.10,86.98,0.00,0.00,136.98,-0.00,-0.00,26.01
21.70,88.88,7.94,0.00,22.30,20.97,23.47,90.25,89.15,85.72,-0.00,2.87,53.53,0.00,0.00,2.20
21.70,88.12,0.38,0.00,22.32,20.63,24.07,89.65,92.07,80.39,0.00,17.41,4.58,-0.00,-0.00,0.00
21.70,85.75,0.00,0.00,21.59,21.26,22.36,90.42,90.20,92.13,0.00,40.72,0.00,0.00,0.00,-0.00
21.76,88.12,0.00,0.00,21.76,21.21,22.49,88.42,92.66,90.87,-0.00,63.02,-0.00,-0.00,0.18,0.00
22.05,88.75,0.00,0.00,21.91,21.60,21.15,88.44,88.42,98.47,0.00,131.30,0.00,0.00,1.87,-0.00
22.20,89.88,0.00,0.00,21.51,21.58,22.75,89.11,85.65,86.92,0.00,198.10,-0.00,0.00,6.39,0.00
22.20,91.00,0.00,0.00,21.14,21.77,22.72,88.07,85.46,86.27,2.90,227.06,0.00,0.00,12.84,-0.00
22.14,91.00,0.00,0.00,20.88,22.01,20.56,90.48,87.63,98.84,17.74,318.64,-0.00,0.00,23.48,0.00
21.85,88.50,0.00,0.00,21.28,22.16,20.43,90.10,88.80,98.46,40.76,231.30,0.00,0.00,10.46,-0.00
21.70,88.88,0.00,0.00,21.41,22.66,21.17,91.33,89.23,94.19,63.98,201.65,-0.00,0.19,8.57,0.00
21.70,90.00,0.00,0.00,21.62,23.28,21.01,88.27,87.12,97.38,131.53,166.89,-0.00,1.88,12.92,-0.00
21.64,88.12,0.00,0.00,21.42,23.30,23.07,86.64,86.99,84.78,195.92,136.96,-0.00,6.32,26.00,0.00
21.29,87.00,2.94,0.00,21.61,23.22,22.04,86.42,87.30,92.08,224.63,52.61,5.81,12.70,2.16,0.00
21.10,88.88,18.06,0.00,22.21,23.41,22.21,86.37,84.57,91.33,323.47,4.39,28.44,23.83,0.00,-0.00
21.29,90.00,40.81,0.00,22.50,22.59,24.36,86.71,90.69,79.57,237.31,0.00,53.19,10.73,-0.00,-0.00
21.59,90.00,64.94,0.19,22.90,22.46,23.62,87.74,91.06,88.22,205.27,-0.00,92.48,8.73,0.00,0.93
21.64,88.12,131.75,1.88,23.29,21.70,22.76,87.06,94.93,87.91,167.00,0.00,169.10,12.93,-0.00,4.47
21.29,87.62,193.75,6.25,23.30,22.43,23.13,86.99,88.96,82.98,136.95,-0.00,201.33,26.00,0.00,6.80
21.48,87.38,222.19,12.56,23.10,22.27,21.63,88.09,89.26,91.90,52.15,0.00,285.71,2.14,-0.00,64.65
22.39,85.12,328.31,24.19,23.08,21.15,22.88,86.66,94.98,86.13,4.29,-0.00,366.21,0.00,0.00,313.96
22.80,84.62,243.31,11.00,22.70,21.09,25.40,89.97,94.23,75.06,0.00,0.00,275.38,-0.00,-0.00,563.41
23.11,86.25,208.88,8.88,22.44,21.44,25.38,91.15,92.41,75.72,-0.00,0.00,159.64,0.00,0.00,616.73
23.30,87.00,167.12,12.94,21.97,21.40,26.23,93.15,94.81,71.40,0.00,-0.00,194.01,-0.00,-0.00,431.57
23.30,87.00,136.94,26.00,22.27,22.54,27.48,89.98,88.27,65.28,-0.00,-0.00,147.13,0.00,0.00,351.15
22.99,88.88,51.69,2.12,22.04,22.12,25.95,90.76,91.54,72.66,0.00,5.85,66.47,-0.00,-0.00,233.36
22.80,88.75,4.19,0.00,21.45,22.43,25.62,93.05,89.92,73.71,-0.00,28.91,6.69,0.00,-0.00,23.21
22.80,89.25,0.00,0.00,21.42,23.77,25.05,92.12,83.28,75.41,0.00,51.09,0.00,-0.00,-0.00,0.00
22.43,91.25,0.00,0.00,21.58,23.67,23.48,91.51,87.92,81.63,0.00,92.80,-0.00,0.00,0.94,-0.00
22.20,91.38,0.00,0.00,21.59,22.80,23.46,93.53,87.64,80.33,0.00,169.61,0.00,-0.00,4.49,0.00
22.14,91.00,0.00,0.00,22.28,22.81,22.40,90.01,84.99,86.40,0.00,196.88,-0.00,0.00,6.65,-0.00
21.85,92.25,0.00,0.00,22.16,22.02,21.96,91.27,89.45,88.90,5.86,294.23,0.00,-0.00,66.57,0.00
21.70,91.12,0.00,0.00,22.54,23.17,22.58,89.21,84.37,87.47,29.14,374.32,-0.00,-0.00,320.92,-0.00
21.70,90.00,0.00,0.00,23.47,25.59,23.21,85.14,74.09,89.14,50.05,279.13,0.00,-0.00,571.08,0.00
21.70,90.62,0.00,0.00,23.69,26.07,23.15,87.77,72.36,93.92,92.96,168.26,-0.00,0.94,650.02,-0.00
21.76,92.25,0.00,0.00,22.82,26.47,24.58,87.51,70.20,85.11,169.86,197.51,-0.00,4.49,439.35,0.00
22.05,91.75,0.00,0.00,22.65,27.04,24.37,86.00,67.45,89.23,194.66,142.81,0.00,6.58,340.86,-0.00
22.20,91.00,5.88,0.00,22.22,25.97,23.73,88.22,72.58,95.36,298.49,66.55,2.30,67.54,233.62,0.00
22.64,88.50,29.38,0.00,23.32,25.42,24.54,83.50,74.79,90.03,378.38,6.59,11.43,324.40,22.88,-0.00
23.21,87.00,49.00,0.00,25.68,24.80,21.99,73.60,76.83,90.61,281.01,0.00,16.40,574.92,0.00,0.00
23.71,87.62,93.12,0.94,26.41,23.55,19.90,70.68,81.26,94.64,172.57,-0.00,22.47,666.66,-0.00,-0.00
22.84,87.38,170.12,4.50,26.60,23.17,21.54,69.60,82.10,81.26,199.25,0.00,54.24,443.23,0.00,0.00
22.51,87.00,192.44,6.50,26.83,22.37,19.67,68.54,86.64,94.90,140.66,-0.00,86.32,335.71,-0.00,0.00
22.39,87.00,302.75,68.50,25.97,21.94,19.70,72.54,89.07,96.14,66.58,0.00,90.39,233.75,0.00,0.00
23.45,82.62,382.44,327.88,25.32,22.34,21.15,75.34,89.04,84.28,6.55,-0.00,88.95,22.72,-0.00,-0.00
25.76,73.12,282.88,578.75,24.67,23.06,19.61,77.54,90.07,92.69,0.00,0.00,94.46,0.00,0.00,-0.00
26.70,69.00,176.88,683.31,23.58,23.23,19.51,81.07,93.40,93.69,-0.00,-0.00,102.91,-0.00,-0.00,-0.00
26.70,69.00,201.00,447.12,23.02,23.91,21.29,82.99,89.56,84.11,0.00,0.00,94.49,0.00,0.00,-0.00
26.64,69.62,138.50,330.56,22.35,24.01,21.49,86.76,91.61,83.50,-0.00,0.00,57.55,-0.00,-0.00,9.00
25.98,72.50,66.62,233.88,21.92,23.98,19.91,89.16,93.74,92.25,0.00,2.34,38.48,0.00,0.00,32.37
25.23,75.88,6.50,22.56,22.21,24.47,21.51,89.83,90.52,80.47,-0.00,11.37,4.66,-0.00,-0.00,3.45
24.56,78.25,0.00,0.00,22.99,22.00,21.22,90.54,90.50,82.08,0.00,16.42,0.00,0.00,0.00,0.00
23.61,80.88,0.00,0.00,23.27,20.26,19.41,93.14,92.32,93.05,0.00,23.08,-0.00,-0.00,-0.00,-0.00
22.89,83.88,0.00,0.00,23.58,20.86,19.48,91.78,85.63,89.11,0.00,51.84,0.00,0.00,-0.00,0.00
22.33,86.88,0.00,0.00,23.83,20.10,20.57,92.81,92.14,81.49,0.00,89.16,-0.00,-0.00,-0.00,-0.00
21.91,89.25,0.00,0.00,24.10,20.37,19.10,92.93,91.94,91.98,2.36,95.16,0.00,0.00,0.00,0.00
22.11,90.62,0.00,0.00,24.43,20.93,19.27,90.76,85.64,89.18,11.34,87.60,-0.00,-0.00,0.00,-0.00
22.93,91.00,0.00,0.00,22.01,19.91,20.48,90.44,90.79,81.79,16.43,96.57,0.00,0.00,0.00,0.00
23.30,92.88,0.00,0.00,20.45,19.79,20.05,91.16,91.84,85.66,23.38,105.11,0.00,-0.00,-0.00,0.00
23.30,94.00,0.00,0.00,20.52,20.84,19.24,87.82,87.06,91.45,50.64,91.59,0.00,-0.00,-0.00,0.00
23.68,94.00,0.00,0.00,20.31,21.03,20.59,90.76,86.44,85.68,90.58,55.78,0.00,-0.00,8.72,-0.00
24.21,92.12,2.38,0.00,20.70,20.27,21.20,89.85,90.00,87.05,97.55,39.52,16.92,0.00,33.24,32.85
24.40,91.00,11.31,0.00,20.82,20.94,21.94,86.32,84.05,87.32,86.92,4.49,84.89,0.00,3.32,131.55
22.02,90.38,16.44,0.00,20.06,20.61,23.08,89.83,85.98,85.05,97.63,0.00,162.93,0.00,0.00,72.38
20.60,90.00,23.69,0.00,19.94,19.47,22.05,90.92,92.65,93.60,106.21,-0.00,236.27,0.00,-0.00,97.61
20.23,90.00,49.44,0.00,20.61,19.32,24.93,88.53,90.11,77.50,90.14,0.00,350.45,-0.00,0.00,299.34
20.50,89.38,92.00,0.00,20.80,19.90,24.23,87.91,85.75,83.89,54.89,-0.00,325.56,8.58,-0.00,183.04
20.99,87.75,99.94,0.00,20.45,19.26,25.11,88.88,90.99,78.74,40.04,0.00,399.62,33.68,0.00,231.36
20.73,87.00,86.25,0.00,20.65,19.21,27.63,85.83,89.59,69.44,4.40,-0.00,284.53,3.26,-0.00,604.02
20.19,88.88,98.69,0.00,20.31,19.84,27.90,87.93,85.89,68.84,0.00,-0.00,311.66,0.00,0.00,394.18
20.06,90.00,107.31,0.00,19.50,19.71,25.83,92.45,87.83,76.05,-0.00,0.00,223.09,-0.00,-0.00,62.57
20.41,90.00,88.69,0.00,19.25,19.36,21.74,90.62,90.73,84.48,0.00,0.00,183.52,0.00,-0.00,126.30
20.60,89.38,54.00,8.44,19.57,20.25,21.35,87.87,87.84,80.80,-0.00,0.00,134.89,-0.00,0.00,199.88
20.60,87.75,40.56,34.12,19.33,20.97,23.12,90.49,88.53,75.29,0.00,16.65,73.77,0.00,32.33,132.76
20.41,87.62,4.31,3.19,19.18,21.73,21.93,89.79,88.66,85.78,-0.00,83.67,6.28,-0.00,129.65,11.00
20.05,89.88,0.00,0.00,19.52,22.84,22.96,87.95,86.58,82.13,0.00,160.19,0.00,-0.00,71.16,0.00
19.53,92.25,0.00,0.00,19.54,22.70,24.31,88.92,89.67,76.69,0.00,248.16,-0.00,0.00,102.52,-0.00
19.18,91.12,0.00,0.00,19.41,24.46,23.30,90.36,80.31,84.26,-0.00,339.35,0.00,0.00,289.86,0.00
19.29,90.00,0.00,0.00,20.08,24.68,23.17,88.92,81.38,84.46,0.00,336.59,-0.00,-0.00,189.24,-0.00
19.40,90.00,0.00,0.00,20.86,25.15,21.75,89.26,78.49,93.36,16.51,400.87,0.00,32.07,232.09,0.00
19.15,90.00,0.00,0.00,21.63,27.14,22.95,89.33,72.03,83.96,83.05,275.29,-0.00,128.70,584.41,-0.00
19.25,90.00,0.00,0.00,22.71,27.54,22.25,87.35,70.73,89.15,158.81,303.95,0.00,70.55,384.43,0.00
19.40,90.00,0.00,0.00,23.02,25.77,22.91,87.71,76.40,83.28,254.11,222.08,-0.00,104.98,62.28,-0.00
19.46,90.00,0.00,0.00,24.22,22.16,21.92,81.71,82.05,86.31,333.80,189.48,0.00,285.12,130.40,0.00
19.94,90.00,0.00,0.00,24.90,21.77,21.40,80.13,78.52,87.94,342.10,139.16,-0.00,192.34,206.22,-0.00
20.76,90.00,16.38,31.81,25.17,22.95,22.01,78.37,76.21,84.50,401.50,72.91,2.85,232.45,131.23,0.00
21.54,90.00,82.44,127.75,26.90,22.41,22.42,73.33,83.02,82.74,270.68,6.52,17.37,574.61,11.40,0.00
22.61,88.12,157.44,69.94,27.36,22.90,22.47,71.68,82.51,84.68,300.10,0.00,66.86,379.56,0.00,5.77
23.29,85.75,260.06,107.44,25.74,23.66,23.75,76.57,80.66,79.34,221.57,-0.00,203.72,62.14,-0.00,28.85
24.02,83.12,328.25,280.38,22.38,23.09,24.20,80.83,85.57,79.22,192.46,0.00,256.87,132.45,0.00,36.99
25.09,78.88,347.62,195.44,21.98,22.80,23.56,77.39,86.85,82.51,141.30,-0.00,382.91,209.39,-0.00,89.20
25.19,78.25,402.12,232.81,22.87,22.16,23.66,76.66,90.74,83.26,72.49,0.00,436.69,130.46,0.00,150.81
26.69,74.62,266.06,564.81,22.65,22.66,26.65,81.63,85.79,66.54,6.63,-0.00,496.99,11.61,-0.00,178.52
27.20,72.62,296.25,374.69,22.87,22.19,24.04,82.69,89.52,78.79,0.00,0.00,343.89,0.00,0.00,63.09
25.71,76.75,221.06,62.00,23.33,22.36,24.84,82.64,86.83,72.60,-0.00,-0.00,329.68,-0.00,-0.00,119.14
22.56,79.62,195.44,134.50,22.98,21.77,24.11,86.22,87.21,75.67,0.00,-0.00,245.72,0.00,0.00,151.07
22.16,76.25,143.44,212.56,22.61,21.37,26.04,88.05,88.09,62.67,-0.00,0.00,174.16,-0.00,-0.00,101.28
22.80,77.12,72.06,129.69,22.37,21.75,24.45,89.43,86.12,68.71,0.00,2.80,58.92,0.00,0.00,10.85
22.86,80.25,6.75,11.81,22.52,22.08,25.43,86.70,84.87,66.84,-0.00,16.97,5.31,-0.00,0.00,0.40
22.84,82.88,0.00,0.00,22.16,22.28,22.59,89.70,85.84,85.61,0.00,65.99,0.00,0.00,5.69,-0.00
23.05,84.62,0.00,0.00,22.09,23.33,23.97,88.61,81.92,77.54,-0.00,197.86,-0.00,-0.00,28.02,0.00
22.89,86.88,0.00,0.00,21.70,23.93,21.66,87.67,80.80,92.64,0.00,252.12,0.00,-0.00,36.30,-0.00
22.45,89.25,0.00,0.00,21.36,23.77,22.54,88.17,81.32,85.39,0.00,388.80,-0.00,-0.00,90.57,0.00
22.55,88.12,0.00,0.00,21.62,24.16,22.66,86.94,80.50,81.39,2.78,453.35,0.00,-0.00,156.56,-0.00
22.39,87.62,0.00,0.00,21.91,25.96,20.24,85.93,70.21,95.43,16.76,474.53,-0.00,0.00,170.45,0.00
22.14,89.88,0.00,0.00,22.19,24.64,19.54,86.42,75.70,95.65,65.55,359.85,0.00,5.66,66.01,0.00
21.85,90.38,0.00,0.00,23.11,24.92,19.01,83.21,72.17,96.67,194.93,331.65,-0.00,27.61,119.85,0.00
21.64,88.12,0.00,0.00,23.80,24.57,19.09,81.59,73.33,95.78,249.75,254.36,-0.00,35.96,156.38,0.00
21.35,88.25,0.00,0.00,23.87,25.50,20.73,80.72,65.28,86.28,391.75,167.95,-0.00,91.25,97.67,-0.00
21.51,87.75,2.75,0.00,24.41,24.73,19.73,79.13,67.36,93.00,461.67,60.18,15.73,159.43,11.08,45.85
21.76,87.00,16.56,0.00,25.61,25.08,22.46,72.04,68.61,78.09,463.29,5.19,90.60,166.42,0.39,212.85
22.11,87.00,65.12,5.62,24.94,23.21,22.56,74.16,82.12,83.33,367.83,0.00,167.21,67.48,-0.00,145.27
22.93,84.50,192.00,27.19,24.96,23.40,21.99,71.96,81.02,90.06,332.64,-0.00,246.08,120.20,0.00,111.64
23.68,82.38,247.38,35.62,24.80,22.15,24.29,72.17,89.63,78.14,258.68,0.00,359.79,159.03,-0.00,194.95
23.96,80.12,394.69,91.94,25.23,22.41,25.70,66.58,86.20,71.13,164.85,-0.00,452.97,95.86,0.00,231.47
24.62,77.75,470.00,162.31,24.88,22.21,24.51,66.68,84.19,82.46,60.81,0.00,408.47,11.19,-0.00,280.71
25.31,73.88,452.06,162.38,24.90,20.75,25.50,69.49,92.16,77.28,5.12,-0.00,228.42,0.38,0.00,637.32
25.19,72.62,375.81,68.94,23.52,20.13,27.76,80.37,91.88,64.51,0.00,0.00,177.74,-0.00,-0.00,820.50
25.00,71.75,333.62,120.56,23.11,19.62,26.37,82.76,92.78,71.47,-0.00,-0.00,151.78,0.00,0.00,652.71
25.00,71.00,263.00,161.69,22.39,19.59,26.97,88.13,92.58,65.74,0.00,-0.00,184.80,-0.00,-0.00,482.48
25.00,67.88,161.75,94.06,22.35,20.56,27.14,86.60,87.33,64.27,-0.00,0.00,142.57,0.00,-0.00,323.39
25.00,66.00,61.44,11.31,21.98,20.18,26.76,85.60,90.19,66.08,0.00,16.27,73.32,-0.00,47.43,114.98
24.75,70.38,5.06,0.38,21.01,21.89,25.27,90.52,81.61,73.95,-0.00,87.14,6.34,0.00,204.73,8.09
23.79,78.62,0.00,0.00,20.43,22.55,26.13,90.00,83.36,69.86,-0.00,167.17,0.00,-0.00,145.23,0.00
